"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: familyCount","Param: reductionMode","Param: stemCount","Param: storeOriginalStem"
"org.egothor.stemmer.benchmark.EnglishStemmerComparisonBenchmark.radixorUsUkProfiPreferredStem","avgt",1,5,653093.904488,14269.679966,"ns/op",1000,,,
"org.egothor.stemmer.benchmark.EnglishStemmerComparisonBenchmark.radixorUsUkProfiPreferredStem","avgt",1,5,3232311.842528,33816.071207,"ns/op",5000,,,
"org.egothor.stemmer.benchmark.EnglishStemmerComparisonBenchmark.snowballEnglishPorter2","avgt",1,5,3956083.944682,153793.442481,"ns/op",1000,,,
"org.egothor.stemmer.benchmark.EnglishStemmerComparisonBenchmark.snowballEnglishPorter2","avgt",1,5,19908540.871216,290922.944368,"ns/op",5000,,,
"org.egothor.stemmer.benchmark.EnglishStemmerComparisonBenchmark.snowballOriginalPorter","avgt",1,5,2549703.093703,98174.811986,"ns/op",1000,,,
"org.egothor.stemmer.benchmark.EnglishStemmerComparisonBenchmark.snowballOriginalPorter","avgt",1,5,13758114.498630,321317.768896,"ns/op",5000,,,
"org.egothor.stemmer.benchmark.FrequencyTrieCompilationBenchmark.compilePatchTrie","avgt",1,5,68514776.560000,3610240.718345,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS,2000,true
"org.egothor.stemmer.benchmark.FrequencyTrieCompilationBenchmark.compilePatchTrie","avgt",1,5,67195904.853333,1554194.072840,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS,2000,false
"org.egothor.stemmer.benchmark.FrequencyTrieCompilationBenchmark.compilePatchTrie","avgt",1,5,311765509.100000,8537128.349237,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS,10000,true
"org.egothor.stemmer.benchmark.FrequencyTrieCompilationBenchmark.compilePatchTrie","avgt",1,5,299231823.050000,18834005.407065,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS,10000,false
"org.egothor.stemmer.benchmark.FrequencyTrieCompilationBenchmark.compilePatchTrie","avgt",1,5,88639241.216667,1671629.603131,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_UNORDERED_GET_ALL_RESULTS,2000,true
"org.egothor.stemmer.benchmark.FrequencyTrieCompilationBenchmark.compilePatchTrie","avgt",1,5,88667005.350000,3349466.207225,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_UNORDERED_GET_ALL_RESULTS,2000,false
"org.egothor.stemmer.benchmark.FrequencyTrieCompilationBenchmark.compilePatchTrie","avgt",1,5,354850920.666667,20344718.259943,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_UNORDERED_GET_ALL_RESULTS,10000,true
"org.egothor.stemmer.benchmark.FrequencyTrieCompilationBenchmark.compilePatchTrie","avgt",1,5,348912558.266667,36885422.137082,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_UNORDERED_GET_ALL_RESULTS,10000,false
"org.egothor.stemmer.benchmark.FrequencyTrieCompilationBenchmark.compilePatchTrie","avgt",1,5,60971575.035294,635902.860349,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_DOMINANT_GET_RESULTS,2000,true
"org.egothor.stemmer.benchmark.FrequencyTrieCompilationBenchmark.compilePatchTrie","avgt",1,5,65713156.512500,1608212.661888,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_DOMINANT_GET_RESULTS,2000,false
"org.egothor.stemmer.benchmark.FrequencyTrieCompilationBenchmark.compilePatchTrie","avgt",1,5,311370410.150000,13008002.062983,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_DOMINANT_GET_RESULTS,10000,true
"org.egothor.stemmer.benchmark.FrequencyTrieCompilationBenchmark.compilePatchTrie","avgt",1,5,311236692.450000,45154449.753679,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_DOMINANT_GET_RESULTS,10000,false
"org.egothor.stemmer.benchmark.FrequencyTrieLookupBenchmark.lookupAllPatches","avgt",1,5,33261.715051,11314.250240,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS,2000,
"org.egothor.stemmer.benchmark.FrequencyTrieLookupBenchmark.lookupAllPatches","avgt",1,5,248248.040413,11541.314484,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS,10000,
"org.egothor.stemmer.benchmark.FrequencyTrieLookupBenchmark.lookupAllPatches","avgt",1,5,32953.141841,13117.490950,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_UNORDERED_GET_ALL_RESULTS,2000,
"org.egothor.stemmer.benchmark.FrequencyTrieLookupBenchmark.lookupAllPatches","avgt",1,5,255478.331718,11066.732215,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_UNORDERED_GET_ALL_RESULTS,10000,
"org.egothor.stemmer.benchmark.FrequencyTrieLookupBenchmark.lookupAllPatches","avgt",1,5,32009.754206,5093.917764,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_DOMINANT_GET_RESULTS,2000,
"org.egothor.stemmer.benchmark.FrequencyTrieLookupBenchmark.lookupAllPatches","avgt",1,5,247817.023155,13218.396917,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_DOMINANT_GET_RESULTS,10000,
"org.egothor.stemmer.benchmark.FrequencyTrieLookupBenchmark.lookupPreferredPatch","avgt",1,5,2400399.021103,8174.812580,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS,2000,
"org.egothor.stemmer.benchmark.FrequencyTrieLookupBenchmark.lookupPreferredPatch","avgt",1,5,14222053.814085,91213.939971,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_RANKED_GET_ALL_RESULTS,10000,
"org.egothor.stemmer.benchmark.FrequencyTrieLookupBenchmark.lookupPreferredPatch","avgt",1,5,2470975.875431,17537.335563,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_UNORDERED_GET_ALL_RESULTS,2000,
"org.egothor.stemmer.benchmark.FrequencyTrieLookupBenchmark.lookupPreferredPatch","avgt",1,5,14354253.305226,1375405.717859,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_UNORDERED_GET_ALL_RESULTS,10000,
"org.egothor.stemmer.benchmark.FrequencyTrieLookupBenchmark.lookupPreferredPatch","avgt",1,5,2382408.302745,18061.886018,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_DOMINANT_GET_RESULTS,2000,
"org.egothor.stemmer.benchmark.FrequencyTrieLookupBenchmark.lookupPreferredPatch","avgt",1,5,14298358.083340,169985.654994,"ns/op",,MERGE_SUBTREES_WITH_EQUIVALENT_DOMINANT_GET_RESULTS,10000,
