representative,disagreement_components,delta_macro,delta_micro,switch_coverage_micro,correct_switch_share_micro,aligned_switches,reverse_switches,disagreement_pairs,bootstrap_stability_low,bootstrap_stability_high,leave_one_component_out_min,leave_one_component_out_max
medoid,6165,0.0492685754572456,0.005872754565843764,0.00605946762592248,0.9845932785184003,37002,579,6202030,0.04471308815665029,0.05405696425438458,0.049114336095703946,0.04943880072905891
shortest,6165,0.07198611740524904,0.008519307388064876,0.008778254861714633,0.9852506290983231,53640,803,6202030,0.06648420771114494,0.07774328762536756,0.07183556356316682,0.07216002819652179
lexical,6165,0.05992512968230109,0.005256665962596118,0.005446603773280684,0.9825636471284784,33191,589,6202030,0.05465663484710389,0.06527867352401437,0.05977261915823917,0.06009708379159413
