model,gold,relation_scope,forms,clusters,macro_precision,macro_recall,macro_f1,tp,fp,fn,pairwise_precision,pairwise_recall,pairwise_f1,cistem_commit,cistem_python_blob
CISTEM,GS1,fold_restricted,298259,30215,0.9913490336367513,0.8950516448231237,0.921334694955388,1330243,23376,6357407,0.9827307388563548,0.17303636351811022,0.2942602415656475,7c19867c2e062c8a7d44b394c19573845ac4bd89,dbc90836bb6361712b52b2e504b85c702294a29f
CISTEM,GS2,fold_restricted,298259,49352,0.9425227905860926,0.9626166894480482,0.9329244434699183,1254338,99281,231282,0.9266551370806704,0.8443195433556361,0.8835733800500769,7c19867c2e062c8a7d44b394c19573845ac4bd89,dbc90836bb6361712b52b2e504b85c702294a29f
