representative,fold,component_id,forms,disagreement_g1_same,disagreement_g2_same,disagreement_pairs,aligned_switches,reverse_switches,delta,switch_coverage,correct_switch_share,directional_identity
shortest,1,25890,5,8,0,8,1,0,0.125,0.125,1.0,0.125
shortest,1,25903,201,18705,0,18705,12,18,-0.00032076984763432237,0.0016038492381716118,0.4,-0.00032076984763432237
shortest,1,25935,19,113,0,113,61,0,0.5398230088495575,0.5398230088495575,1.0,0.5398230088495575
shortest,1,26068,23,144,0,144,0,0,0.0,0.0,nan,0.0
shortest,1,26074,22,85,0,85,0,0,0.0,0.0,nan,0.0
shortest,1,26082,11,36,0,36,0,0,0.0,0.0,nan,0.0
shortest,1,26120,20,117,0,117,14,0,0.11965811965811966,0.11965811965811966,1.0,0.11965811965811966
shortest,1,26124,52,1153,0,1153,0,0,0.0,0.0,nan,0.0
shortest,1,26126,18,17,0,17,0,0,0.0,0.0,nan,0.0
shortest,1,26160,8,12,0,12,0,0,0.0,0.0,nan,0.0
shortest,1,26241,164,12599,0,12599,8,0,0.0006349710294467815,0.0006349710294467815,1.0,0.0006349710294467815
shortest,1,26247,4,3,0,3,0,0,0.0,0.0,nan,0.0
shortest,1,26252,17,30,0,30,0,0,0.0,0.0,nan,0.0
shortest,1,26303,27,199,0,199,0,0,0.0,0.0,nan,0.0
shortest,1,26315,4,4,0,4,0,0,0.0,0.0,nan,0.0
shortest,1,26323,31,319,0,319,0,0,0.0,0.0,nan,0.0
shortest,1,26346,13,22,0,22,0,0,0.0,0.0,nan,0.0
shortest,1,26401,7,6,0,6,0,0,0.0,0.0,nan,0.0
shortest,1,26416,71,2030,0,2030,0,0,0.0,0.0,nan,0.0
shortest,1,26420,3,2,0,2,0,0,0.0,0.0,nan,0.0
shortest,1,26421,36,356,0,356,0,0,0.0,0.0,nan,0.0
shortest,1,26458,12,44,0,44,0,0,0.0,0.0,nan,0.0
shortest,1,26468,31,336,0,336,0,0,0.0,0.0,nan,0.0
shortest,1,26556,28,115,0,115,0,0,0.0,0.0,nan,0.0
shortest,1,26561,6,5,0,5,0,0,0.0,0.0,nan,0.0
shortest,1,26605,12,36,0,36,0,0,0.0,0.0,nan,0.0
shortest,1,26638,5,6,0,6,0,0,0.0,0.0,nan,0.0
shortest,1,26680,12,20,0,20,0,0,0.0,0.0,nan,0.0
shortest,1,26699,11,30,0,30,30,0,1.0,1.0,1.0,1.0
shortest,1,26701,29,256,0,256,0,0,0.0,0.0,nan,0.0
shortest,1,26710,16,55,0,55,0,0,0.0,0.0,nan,0.0
shortest,1,26723,17,74,0,74,0,0,0.0,0.0,nan,0.0
shortest,1,26739,168,13263,0,13263,101,0,0.0076151700218653395,0.0076151700218653395,1.0,0.0076151700218653395
shortest,1,26767,40,588,0,588,12,0,0.02040816326530612,0.02040816326530612,1.0,0.02040816326530612
shortest,1,26783,101,4504,0,4504,0,0,0.0,0.0,nan,0.0
shortest,1,26787,8,12,0,12,0,0,0.0,0.0,nan,0.0
shortest,1,26822,42,695,0,695,0,0,0.0,0.0,nan,0.0
shortest,1,26858,19,35,0,35,0,0,0.0,0.0,nan,0.0
shortest,1,26890,42,650,0,650,35,0,0.05384615384615385,0.05384615384615385,1.0,0.05384615384615385
shortest,1,26918,10,24,0,24,0,0,0.0,0.0,nan,0.0
shortest,1,26941,19,34,0,34,0,0,0.0,0.0,nan,0.0
shortest,1,26976,56,1128,0,1128,0,0,0.0,0.0,nan,0.0
shortest,1,26980,8,16,0,16,0,0,0.0,0.0,nan,0.0
shortest,1,26991,237,26473,0,26473,11,0,0.00041551769727647035,0.00041551769727647035,1.0,0.00041551769727647035
shortest,1,27000,8,12,0,12,0,0,0.0,0.0,nan,0.0
shortest,1,27017,18,72,0,72,0,0,0.0,0.0,nan,0.0
shortest,1,27028,13,22,0,22,0,0,0.0,0.0,nan,0.0
shortest,1,27057,7,6,0,6,0,0,0.0,0.0,nan,0.0
shortest,1,27064,18,17,0,17,11,0,0.6470588235294118,0.6470588235294118,1.0,0.6470588235294118
shortest,1,27091,9,18,0,18,0,0,0.0,0.0,nan,0.0
shortest,1,27098,23,130,0,130,0,0,0.0,0.0,nan,0.0
shortest,1,27171,63,1499,0,1499,561,0,0.3742494996664443,0.3742494996664443,1.0,0.3742494996664443
shortest,1,27173,6,9,0,9,0,0,0.0,0.0,nan,0.0
shortest,1,27208,6,8,0,8,0,0,0.0,0.0,nan,0.0
shortest,1,27223,2,1,0,1,0,0,0.0,0.0,nan,0.0
shortest,1,27290,19,103,0,103,0,0,0.0,0.0,nan,0.0
shortest,1,27314,3,3,0,3,1,0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333
shortest,1,27346,8,12,0,12,12,0,1.0,1.0,1.0,1.0
shortest,1,27426,24,23,0,23,0,0,0.0,0.0,nan,0.0
shortest,1,27450,37,342,0,342,0,0,0.0,0.0,nan,0.0
shortest,1,27465,11,30,0,30,0,0,0.0,0.0,nan,0.0
shortest,1,27471,55,1245,0,1245,0,0,0.0,0.0,nan,0.0
shortest,1,27493,13,22,0,22,22,0,1.0,1.0,1.0,1.0
shortest,1,27528,23,204,0,204,6,0,0.029411764705882353,0.029411764705882353,1.0,0.029411764705882353
shortest,1,27560,11,18,0,18,0,0,0.0,0.0,nan,0.0
shortest,1,27583,20,125,0,125,0,0,0.0,0.0,nan,0.0
shortest,1,27592,7,12,0,12,0,0,0.0,0.0,nan,0.0
shortest,1,27610,24,44,0,44,0,0,0.0,0.0,nan,0.0
shortest,1,27622,12,36,0,36,0,0,0.0,0.0,nan,0.0
shortest,1,27642,56,1229,0,1229,71,0,0.05777054515866558,0.05777054515866558,1.0,0.05777054515866558
shortest,1,27662,44,629,0,629,0,0,0.0,0.0,nan,0.0
