model,gold,relation_scope,forms,clusters,macro_precision,macro_recall,macro_f1,tp,fp,fn,pairwise_precision,pairwise_recall,pairwise_f1,cistem_commit,cistem_python_blob
CISTEM,GS1,full_restricted_universe,298259,30215,0.9631652671234422,0.8950516448231237,0.9016260833875009,1330243,109596,6357407,0.9238831563806786,0.17303636351811022,0.2914806032633948,7c19867c2e062c8a7d44b394c19573845ac4bd89,dbc90836bb6361712b52b2e504b85c702294a29f
CISTEM,GS2,full_restricted_universe,298259,49352,0.9152946352590515,0.9626166894480482,0.9120149173370019,1254338,185501,231282,0.8711654566934219,0.8443195433556361,0.8575324419176615,7c19867c2e062c8a7d44b394c19573845ac4bd89,dbc90836bb6361712b52b2e504b85c702294a29f
